order_id,user_id,problem_id,database_problem_id,correct,skill_id,skill_name,ms_first_response,answer_type,attempt_count
26451096,53167,48130,1247,1,477,基本类型,54136,algebra,1
35507211,53167,48806,1462,1,496,Java调用Java程序(RMI),15800,algebra,1
33030165,64525,46794,154,1,533_536_543_539_536,函数与结构体_质数_循环结构_素数_质数,12237,algebra,1
33030204,64525,46800,156,1,533,函数与结构体,8209,algebra,1
33029934,64525,46827,165,0,413,字符串,64927,algebra,1
33030180,64525,46854,174,1,413_534_537,字符串_模拟_搜索,8963,algebra,1
33030103,64525,46872,180,0,487,数组,11120,algebra,1
33029782,64525,46899,189,1,487,数组,76226,algebra,1
33029871,64525,46920,196,1,543,循环结构,39891,algebra,1
33023842,64525,47090,1177,1,439,包,74557,algebra,1
33023719,64525,47117,1186,1,513,对象类型,67410,algebra,1
33025830,64525,48569,1322,1,412,Java高级字符串处理,35940,algebra,1
35379193,70363,46797,155,0,533_537_536,函数与结构体_搜索_质数,35218,algebra,1
35303857,70363,46803,157,0,533_538,函数与结构体_排列组合,18921,algebra,0
35383821,70363,46806,158,0,533,函数与结构体,31003,algebra,1
35396970,70363,46815,161,1,413_534,字符串_模拟,27110,algebra,1
35480204,70363,46824,164,1,413_534,字符串_模拟,16659,algebra,1
35480008,70363,46830,166,0,413_534,字符串_模拟,37238,algebra,0
35396622,70363,46842,170,1,413_534_541,字符串_模拟_排序,60626,algebra,1
35396365,70363,46845,171,0,413,字符串,14563,algebra,1
35374883,70363,46851,173,0,413_534,字符串_模拟,61882,algebra,1
35397132,70363,46854,174,1,413_534_537,字符串_模拟_搜索,17407,algebra,1
35381598,70363,46854,174,0,413_534_537,字符串_模拟_搜索,65380,algebra,1
35480167,70363,46860,176,1,487_535,数组_递归,18066,algebra,1
35304593,70363,46899,189,0,487,数组,35655,algebra,0
35383524,70363,46914,194,1,543,循环结构,21831,algebra,1
35304037,70363,46923,197,0,543,循环结构,20671,algebra,1
35304325,70363,46926,198,0,543,循环结构,13562,algebra,1
35304970,70363,46929,199,1,543_534_413,循环结构_模拟_字符串,69655,algebra,1
35383084,70363,46935,201,1,543_534,循环结构_模拟,31097,algebra,1
35377823,70363,46938,202,0,543,循环结构,24171,algebra,1
35378901,70363,46950,206,1,543_534_413,循环结构_模拟_字符串,59905,algebra,1
35306351,70363,47044,1145,0,438,构造函数,43016,algebra,2
35305403,70363,47068,1169,0,455,Applet,24906,algebra,1
35305686,70363,47081,1174,0,447,赋值语句,55499,algebra,0
35384917,70363,47108,1183,1,462,循环语句,71336,algebra,1
35311636,70363,47788,1201,0,462,循环语句,7640,algebra,1
35310481,70363,47804,1205,0,518,return,69701,algebra,0
35393127,70363,47812,1206,1,10_104,Table,113954,algebra,1
35311257,70363,47832,1211,0,517,抽象类和抽象方法,13234,algebra,1
35393891,70363,47848,1215,1,520,super,53141,algebra,1
35311614,70363,47860,1217,1,484,接口与实现类,15062,algebra,1
35393951,70363,47864,1218,1,420,异常处理,34563,algebra,1
35393621,70363,47876,1221,0,492,,87218,algebra,1
35393854,70363,47884,1223,1,506_507,进程_堆,36188,algebra,1
35393452,70363,47892,1225,1,499,整数,66578,algebra,1
35391567,70363,47896,1226,0,416,log4j,78580,algebra,1
35394262,70363,48086,1236,1,510,中国特殊符号,45047,algebra,1
35402512,70363,48162,1255,1,411,数据类型,22704,algebra,1
32835180,70677,46794,154,1,533_536_543_539_536,函数与结构体_质数_循环结构_素数_质数,46319,algebra,1
33748701,70677,46797,155,0,533_537_536,函数与结构体_搜索_质数,67756,algebra,1
32835270,70677,46812,160,1,413,字符串,37206,algebra,1
33749151,70677,46812,160,1,413,字符串,20093,algebra,1
33749012,70677,46815,161,1,413_534,字符串_模拟,25628,algebra,1
32835244,70677,46824,164,1,413_534,字符串_模拟,33293,algebra,1
33748048,70677,46824,164,1,413_534,字符串_模拟,136197,algebra,1
33748398,70677,46833,167,1,413_534_540,字符串_模拟_枚举,49740,algebra,1
33748620,70677,46854,174,1,413_534_537,字符串_模拟_搜索,25897,algebra,1
33749069,70677,46872,180,1,487,数组,21953,algebra,1
32835201,70677,46971,213,1,543_534_540,循环结构_模拟_枚举,80142,algebra,1
32839630,70677,47045,1146,0,420,异常处理,159383,algebra,3
33745219,70677,48808,1464,1,417,Java调用C程序(JNI),75727,algebra,1
35031856,70693,48550,1304,0,403,JUnit、单元测试,261729,fill_in_1,4
20226193,70701,48150,1252,1,447,赋值语句,47078,algebra,1
28189674,70707,8463,122,1,529_525,浮点数_顺序结构,15267,algebra,1
32891387,70707,46803,157,1,533_538,函数与结构体_排列组合,11136,algebra,1
32891289,70707,46824,164,1,413_534,字符串_模拟,374610,algebra,1
32891259,70707,46830,166,1,413_534,字符串_模拟,90400,algebra,1
32891375,70707,46863,177,1,487,数组,16123,algebra,1
33155814,70707,47064,1165,1,472,paint,39498,algebra,1
32891623,70707,48070,1232,1,478,数据库和SQL,54246,algebra,1
32890323,70707,48655,1404,1,400,Java并发数据结构,56571,fill_in_1,1
30404642,70729,8462,121,1,529_525,浮点数_顺序结构,53484,algebra,1
33533357,70729,8463,122,1,529_525,浮点数_顺序结构,34927,algebra,1
33748423,70729,46929,199,0,543_534_413,循环结构_模拟_字符串,40053,algebra,1
20421468,70729,47844,1214,0,520,super,139078,algebra,1
20421197,70729,47848,1215,1,520,super,193923,algebra,1
34893556,70732,43199,152,0,533,函数与结构体,17108,choose_1,3
